1,Qatar,,,x,Ecuador
2,England,x,,,Iran
3,Senegal,x,,,Netherlands
4,USA,x,,,Wales
5,Argentina,x,,,Saudi Arabia
6,Denmark,x,,,Tunisia
7,Mexico,,x,,Poland
8,France,x,,,Australia
9,Morocco,,,x,Croatia
10,Germany,,,x,Japan
11,Spain,x,,,Costa Rica
12,Belgium,x,,,Canada
13,Switzerland,x,,,Cameroon
14,Uruguay,x,,,Korea Republic
15,Portugal,x,,,Ghana
16,Brazil,x,,,Serbia
17,Wales,x,,,Iran
18,Qatar,,,x,Senegal
19,Netherlands,x,,,Ecuador
20,England,,,x,USA
21,Tunisia,,,x,Australia
22,Poland,x,,,Saudi Arabia
23,France,x,,,Denmark
24,Argentina,x,,,Mexico
25,Japan,x,,,Costa Rica
26,Belgium,,,x,Morocco
27,Croatia,x,,,Canada
28,Spain,x,,,Germany
29,Cameroon,,,x,Serbia
30,Korea Republic,x,,,Ghana
31,Brazil,x,,,Switzerland
32,Portugal,,,x,Uruguay
33,Ecuador,x,,,Senegal
34,Netherlands,x,,,Qatar
35,Wales,,,x,England
36,Iran,,,x,USA
37,Australia,,,x,Denmark
38,Tunisia,,,x,France
39,Poland,,,x,Argentina
40,Saudi Arabia,,,x,Mexico
41,Croatia,x,,,Belgium
42,Canada,,,x,Morocco
43,Japan,x,,,Spain
44,Costa Rica,,,x,Germany
45,Ghana,x,,,Uruguay
46,Korea Republic,,,x,Portugal
47,Serbia,,,x,Switzerland
48,Cameroon,x,,,Brazil
