1,Qatar,0,2,Ecuador
2,England,6,2,Iran
3,Senegal,0,2,Netherlands
4,USA,1,1,Wales
5,Argentina,1,2,Saudi Arabia
6,Denmark,0,0,Tunisia
7,Mexico,0,0,Poland
8,France,4,1,Australia
9,Morocco,0,0,Croatia
10,Germany,1,2,Japan
11,Spain,7,0,Costa Rica
12,Belgium,1,0,Canada
13,Switzerland,1,0,Cameroon
14,Uruguay,0,0,Korea Republic
15,Portugal,3,2,Ghana
16,Brazil,2,0,Serbia
17,Wales,0,2,Iran
18,Qatar,1,3,Senegal
19,Netherlands,1,1,Ecuador
20,England,0,0,USA
21,Tunisia,0,1,Australia
22,Poland,2,0,Saudi Arabia
23,France,2,1,Denmark
24,Argentina,2,0,Mexico
25,Japan,0,1,Costa Rica
26,Belgium,0,2,Morocco
27,Croatia,4,1,Canada
28,Spain,1,1,Germany
29,Cameroon,3,3,Serbia
30,Korea Republic,2,3,Ghana
31,Brazil,1,0,Switzerland
32,Portugal,2,0,Uruguay
33,Ecuador,1,2,Senegal
34,Netherlands,2,0,Qatar
35,Wales,0,3,England
36,Iran,0,1,USA
37,Australia,1,0,Denmark
38,Tunisia,1,0,France
39,Poland,0,2,Argentina
40,Saudi Arabia,1,2,Mexico
41,Croatia,0,0,Belgium
42,Canada,1,2,Morocco
43,Japan,2,1,Spain
44,Costa Rica,2,4,Germany
45,Ghana,0,2,Uruguay
46,Korea Republic,2,1,Portugal
47,Serbia,2,3,Switzerland
48,Cameroon,1,0,Brazil
